30720,132,170,1420,187,135,258,200,373,486,124,138,171,161,150,195
30720,132,170,1420,187,135,258,200,373,486,124,138,171,161,150,195
1688,258,164,234,210,323,172,92,835,471,964,134,183,181,151,297
1688,258,164,234,210,323,172,92,835,471,964,134,183,181,151,297
1688,258,164,234,210,323,172,92,835,471,964,134,183,181,151,297
1688,258,164,234,210,323,172,92,835,471,964,134,183,181,151,297
1688,258,164,234,210,323,172,92,835,471,964,134,183,181,151,297
6331,191,138,162,194,153,222,209,385,220,119,151,185,178,141,193
6331,191,138,162,194,153,222,209,385,220,119,151,185,178,141,193,Vladdos
5354,168,162,124,208,141,220,218,317,148,144,111,233,180,189,192,Vladddos
5354,168,162,124,208,141,220,218,317,148,144,111,233,180,189,192,Vladddos
5002,165,209,123,245,148,232,176,417,235,146,113,172,167,155,343,vladdos
